Tsys	OutW	OutK	In1	In2	In3	In4	In5
226750.934763	-5.26580823662	1.68231945185	-85	5104.64625533	37.3582381918	37.3857378034	1.73621348754E-5
230350.67243	-4.99486749989	1.68243330788	-85	5104.8879535	38.4396336437	38.5095767122	2.52376533301E-4
233950.602751	-5.32091520126	1.68268184218	-85	5105.92989618	40.8001321471	40.840876313	2.31302741929E-4
237550.308225	-4.94584642891	1.68278283021	-85	5106.41391996	41.7591851136	41.7792138418	7.03667850315E-5
253750.139343	-4.73525552827	1.6829574798	-85	5106.61672234	42.1396506195	42.1330092262	3.40790422742E-5
257350.015986	-4.92950206965	1.68296953648	-85	5106.65595683	42.2343248202	42.2373815532	1.41825374437E-5
260949.836195	-4.901595683	1.6829730117	-85	5106.67431641	42.2616154869	42.2701527172	1.62428483732E-13
264549.612265	-4.89363239852	1.68310833944	-85	5106.90976759	43.3242440134	43.4024052773	3.1430577914E-4
268149.414857	-4.82283021347	1.68341690112	-85	5107.96261489	45.7470618624	45.7849805721	2.12221152225E-4
271749.318802	-5.11702619772	1.68353607248	-85	5108.44460735	46.6827923251	46.7100503894	5.70797299627E-5
287948.680872	-5.06686539934	1.68331523113	-85	5108.64144457	47.051972733	47.0469768007	1.56285147214E-5
291548.475706	-5.05552542488	1.68331523113	-85	5108.66064523	47.1113574556	47.1161437866	1.58722725098E-8
295148.290761	-5.03578911152	1.68331523113	-85	5108.66601563	47.1123104694	47.1090269524	1.18633490347E-13
298748.073674	-4.98146712462	1.68331523113	-85	5108.66699219	47.1166705614	47.1159726075	6.80875690291E-14
302347.875704	-4.99904812231	1.68331523113	-85	5108.66796875	47.1212876626	47.115982889	1.75540555359E-13
305947.690882	-4.98894021504	1.68331523113	-85	5108.66699219	47.1217756595	47.1129102842	-1.47604151124E-13
14410.2080316	-4.3533245469	1.67604995445	-82.5	5092.17606614	7.57511414596	7.60973653257	5.5344308563E-6
18010.1064022	-4.35893731308	1.67607041046	-82.5	5092.25096658	7.73432904438	7.7687180052	4.2457431826E-6
21610.0078961	-4.36581365008	1.67607976798	-82.5	5092.28586533	7.80973636659	7.83382020818	1.67501772186E-5
25209.9410404	-4.4672144354	1.67620308494	-82.5	5092.50238963	8.83246715814	8.91701501346	2.64068928174E-4
28809.8971349	-4.67036802052	1.67651060062	-82.5	5093.56181052	11.2491302926	11.301017774	2.28591246499E-4
32409.8051051	-4.73245536593	1.67663775333	-82.5	5094.09366588	12.2520467685	12.286574469	8.72929903637E-5
48549.00948	-4.89999571174	1.6765677457	-82.5	5094.30411547	12.5976937707	12.6201469763	9.05111193272E-6
52148.9415635	-5.03187512008	1.67639627932	-82.5	5094.33691406	12.6731172623	12.7003619736	5.29125124551E-14
55748.8221117	-5.01764501361	1.67640398682	-82.5	5094.35619644	12.7107682994	12.728146025	7.16845677271E-7
59348.7075824	-5.01955149678	1.67640530102	-82.5	5094.36376953	12.7292516877	12.7522026736	1.15463194561E-14
62948.6705829	-5.2636099563	1.6766958683	-82.5	5094.93492091	14.6865145152	14.7719264785	3.33729975634E-4
66548.4312244	-4.88618772863	1.6769831974	-82.5	5095.85624995	16.5842404255	16.6181810631	1.51235308425E-4
82747.3621861	-4.95948490209	1.67697285995	-82.5	5096.38440706	17.5497576781	17.561574386	9.89517392859E-6
86347.2106238	-4.91610494187	1.67697911126	-82.5	5096.4171958	17.6207764482	17.6417717879	5.03250089328E-6
89947.079176	-4.91296408363	1.67698354852	-82.5	5096.4336702	17.6472400788	17.6576962478	7.50410175121E-6
93546.9561452	-4.89832796243	1.67698561682	-82.5	5096.43768082	17.6611276785	17.677555162	6.71875678156E-6
97146.8370345	-4.94397138522	1.67723334884	-82.5	5096.87062861	19.2940466319	19.3671592846	3.32507126942E-4
100746.589697	-4.58638759196	1.6775665749	-82.5	5097.86796502	21.418304827	21.4567799479	1.92863808157E-4
116946.244521	-4.88090893625	1.67759292785	-82.5	5098.4787601	22.5511719081	22.5880749374	6.13355056781E-9
120546.100558	-4.86915247615	1.67760050604	-82.5	5098.50851474	22.6180093941	22.6350487003	3.84439286551E-6
124145.966088	-4.87723913383	1.67760463604	-82.5	5098.52099609	22.6328506675	22.6627931558	6.22781179854E-14
127745.850377	-4.95285271574	1.67773733238	-82.5	5098.71913345	23.5937884423	23.6848450013	3.03938463891E-4
131345.769796	-5.16498088519	1.6780998914	-82.5	5099.79261567	26.0809635229	26.1321474811	2.42220234714E-4
134945.59094	-5.0661022528	1.67825079369	-82.5	5100.32817236	27.105564388	27.1501950781	7.0300971331E-5
151144.588604	-5.0693671568	1.67825329353	-82.5	5100.55712891	27.513023372	27.5265425352	9.07385580304E-14
154744.429854	-5.06781161768	1.67822078031	-82.5	5100.57725597	27.5646343954	27.5779508943	8.60952848662E-6
158344.281454	-5.06484248197	1.67822367025	-82.5	5100.58862359	27.5890236905	27.6143399614	1.35304127864E-13
161944.111417	-5.04688190821	1.67835566154	-82.5	5100.79811295	28.5956434937	28.6688583787	2.77114061817E-4
165543.954462	-5.02957018975	1.6786942993	-82.5	5101.86452798	31.0466805335	31.0950958572	2.24090029566E-4
169143.827666	-5.17257512145	1.67884053756	-82.5	5102.39493354	32.0787639245	32.0961086104	9.66801543362E-5
185403.07763	-4.9254395863	1.67879907036	-82.5	5102.61620077	32.4662347055	32.4940155745	1.47691332695E-6
189002.901575	-4.91666857023	1.67880858133	-82.5	5102.64445284	32.5415372351	32.5521576345	1.71160446441E-6
192602.738799	-4.89665679452	1.6788117901	-82.5	5102.65916906	32.5617618987	32.5809525984	3.33723584583E-7
196202.5696	-4.9047209188	1.67895682982	-82.5	5102.92330045	33.7194281455	33.7930864659	2.81751271832E-4
199802.418242	-4.96855232298	1.67925834161	-82.5	5103.94326143	35.9964384281	36.0385617866	2.00783630427E-4
203402.29803	-5.13511075415	1.67937902879	-82.5	5104.40986791	36.9177436997	36.9215103253	6.98024188866E-5
219601.308687	-5.29441219106	1.67939852766	-82.5	5104.56459251	37.1900178247	37.1994931219	1.1919097282E-5
223201.125206	-5.2901556641	1.67941369581	-82.5	5104.61950603	37.3131493093	37.3075544024	9.72870422348E-6
226800.941796	-5.27239099396	1.67941928476	-82.5	5104.6467984	37.3648194911	37.3789543006	1.02482033022E-5
230400.686551	-5.01009845887	1.67954258008	-82.5	5104.90241328	38.4796801896	38.5482072868	2.52154752631E-4
234000.611603	-5.35125470478	1.67981171924	-82.5	5105.94019343	40.8255587042	40.8637934602	2.27421867442E-4
237600.308454	-4.95639759083	1.67992107972	-82.5	5106.41756341	41.7681703294	41.7918689428	7.04158617745E-5
253800.141109	-4.75050626995	1.68010037668	-82.5	5106.61709845	42.1421239132	42.1460684854	3.0273702371E-5
257400.018782	-4.94234225588	1.68011130471	-82.5	5106.65649363	42.2383076979	42.2402359153	1.52370877239E-5
260999.833655	-4.93452920302	1.68011445462	-82.5	5106.67431641	42.2673561134	42.2658181676	2.37511009632E-13
264599.624354	-4.97013309343	1.68023711413	-82.5	5106.92409766	43.3631928577	43.4430969639	3.17316982771E-4
268199.430368	-4.88916936339	1.6805167909	-82.5	5107.97309889	45.7725281919	45.8068321702	2.19461692104E-4
271799.338237	-5.2030516073	1.68062480646	-82.5	5108.44850422	46.6896436454	46.7165807403	6.82309770157E-5
287998.705622	-5.14164079768	1.68048196034	-82.5	5108.64165232	47.061963383	47.0607071917	1.61246176342E-5
291598.500004	-5.10984675563	1.68048196034	-82.5	5108.66096172	47.1092185559	47.1167375756	7.21962786118E-6
295198.306448	-5.09014238536	1.68048196034	-82.5	5108.66601563	47.1129018622	47.1146956195	-8.8488515255E-13
302397.891557	-5.07649531183	1.68048196034	-82.5	5108.66796875	47.1135036336	47.1130082117	-3.97711425361E-13
305997.709945	-5.03863376853	1.68048196034	-82.5	5108.66699219	47.1164633372	47.1157704163	-1.47604151124E-13
298798.099659	-5.06932143939	1.68048196034	-82.5	5108.66699219	47.1209250295	47.1218900313	5.61736430381E-14
14460.2081669	-4.34949207824	1.67328110012	-80	5092.17723952	7.58212937891	7.61161222969	4.39051950223E-7
18060.1030078	-4.35136320948	1.67329666907	-80	5092.25146349	7.73789268437	7.76928760969	1.15676394861E-8
21660.0069456	-4.36043098378	1.67330379103	-80	5092.28613211	7.81430312704	7.84090071848	4.42949917056E-8
25259.9427068	-4.46389314452	1.67339764687	-80	5092.51558088	8.87928759734	8.96175356966	2.53505832724E-4
28859.9052947	-4.6897890149	1.67363169532	-80	5093.57339895	11.2673148807	11.3174201749	2.00734651037E-4
32459.8143988	-4.76404849179	1.67373039065	-80	5094.09856141	12.2620793022	12.3005112949	8.75646956839E-5
48599.0162708	-4.91763458436	1.67365115474	-80	5094.30451972	12.5964056229	12.628401315	1.80853966703E-5
52198.9435118	-5.02702104925	1.67345997498	-80	5094.33691527	12.6792033751	12.6975751901	1.14614056062E-8
55798.8204519	-5.01348445494	1.67346439332	-80	5094.3564357	12.7033640938	12.7222254898	1.44820468177E-6
59398.7097836	-5.02276165701	1.67346955357	-80	5094.36376953	12.7315487517	12.7474522057	1.15463194561E-14
62998.6504793	-5.20365798853	1.67383257588	-80	5094.95137327	14.7159756219	14.8167667461	3.1957004773E-4
66598.4384817	-4.90287605165	1.67417781044	-80	5095.86496196	16.6029159967	16.6376406496	1.42965013829E-4
82797.3420302	-4.91997197075	1.67419140538	-80	5096.38478312	17.5468062382	17.565432778	2.3721171407E-6
86397.2145521	-4.92128257214	1.6741839613	-80	5096.41747263	17.6240519793	17.6347642817	1.17541750736E-6
89997.0760636	-4.92354978265	1.67418766608	-80	5096.43374669	17.6484893444	17.6597163588	1.49861829531E-5
93596.9587677	-4.89797368917	1.67418986342	-80	5096.43786136	17.6629747308	17.6745347164	1.34182173214E-5
97196.8577659	-4.98617618659	1.67444380995	-80	5096.88697131	19.3371281066	19.4027893445	3.25922430867E-4
100796.594735	-4.59759329158	1.67475550132	-80	5097.87785408	21.4448039754	21.4743189148	1.85122539173E-4
116996.255119	-4.9058578544	1.67478186831	-80	5098.47900464	22.5489395653	22.5767987161	3.07304774118E-8
120596.11181	-4.89883911202	1.67477998029	-80	5098.50921607	22.6301842399	22.6276258691	7.68368029055E-6
124195.973665	-4.90548426398	1.67478013568	-80	5098.52099609	22.6313365574	22.6637117943	7.18314296932E-14
127795.857701	-4.97705445248	1.67491632541	-80	5098.7326068	23.6355593836	23.7381951608	3.26370252104E-4
131395.745953	-5.09644643145	1.67525094715	-80	5099.80390468	26.1027406715	26.1590303739	2.26526463061E-4
134995.596155	-5.0716567809	1.67538736182	-80	5100.33260944	27.1084974958	27.1448029196	4.79707684199E-5
151194.589423	-5.07290231683	1.67533948844	-80	5100.55712946	27.5222311622	27.5296187917	9.32211442049E-14
154794.427361	-5.06030446603	1.67533849045	-80	5100.5773639	27.5660727448	27.5839896788	1.71631322552E-5
158394.2847	-5.06842260877	1.67534187369	-80	5100.58886719	27.5937604759	27.6042126066	-2.85571457044E-14
161994.107719	-5.02160057638	1.67547023711	-80	5100.811832	28.6444625257	28.7174118404	2.92597154746E-4
165593.965682	-5.07755757788	1.67576748327	-80	5101.87577116	31.0773232224	31.1111057389	2.02505408823E-4
169193.838055	-5.17729818735	1.67588941506	-80	5102.39959147	32.0752962137	32.1092602613	9.60348820884E-5
185453.081217	-4.92241288755	1.6758828776	-80	5102.61667791	32.4640412178	32.4900609267	2.94943340401E-6
189052.899898	-4.91416334457	1.67589176076	-80	5102.64453176	32.5418766998	32.551399415	1.10617649384E-8
